User_id,Name,Password,Email,Covid_status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
18b535,Anjali,ai123,anjali@gmail.com,1,,,,,,
18b536,Anjana,a123a,anjana@gmail.com,1,,,,,,
18b537,Sumi,12b34,sumi@gmail.com,1,,,,,,
18b538,karthik,1345c,karthik@gmail.com,0,,,,,, 
18b539,Arun,1456c,arun@gmail.com,0,,,,,,
18b540,Shilpa,1267b,shilpa@gmail.com,0,,,,,,
18b541,Amal,1376c,amal@gmail.com,0,,,,,,
18b542,Raju,1234k,raju@gmail.com,0,,,,,,
18b543,Amal,13g23,amal@gmail.com,0,,,,,,
18b544,Rani,14y23,rani@gmail.com,0,,,,,,
18b545,Maya,m0012,maya@gmail.com,0,,,,,,
18b546,Kavya,mk123,kavya@gmail.com,0,,,,,,
18b547,Diya,dv091,diya@gmail.com,0,,,,,,
18b548,Sona,na123,sona@gmail.com,0,,,,,,
